seed,round,rho,proxy_R,true_R,reward_gap,proxy_unc_mean,proxy_unc_max
0,0,1.0,0.5095282811671495,0.504500391581706,0.005027889585443535,0.034276668208853445,0.07160431419753957
0,1,0.7407676872075667,0.5329288919456303,0.5140093514306802,0.01891954051495015,0.036210291286529785,0.0935522170458856
0,2,0.6460480633072185,0.5477156136184931,0.5143041720333115,0.03341144158518161,0.03577367745323309,0.08908532439804223
0,3,0.663170955888184,0.5782726025208831,0.493529505685734,0.08474309683514908,0.03574853243192583,0.07431920290470598
0,4,0.5962701140101928,0.5982001628726721,0.5077163276658446,0.09048383520682746,0.0348846494140993,0.09058767020667755
0,5,0.7854054268239519,0.6054470334202051,0.4989544633507541,0.10649257006945101,0.03240539196814285,0.0744965956483668
0,6,0.8465506082167139,0.6229685684666038,0.5015038587088614,0.12146470975774237,0.03511372570871575,0.08495175058089292
0,7,0.6472171126614013,0.6489930916577578,0.4923635793925757,0.15662951226518207,0.04067821386324656,0.08195292761008018
0,8,0.6448733784351468,0.6743977647274733,0.5060944768620487,0.1683032878654246,0.03755097096035721,0.07395279629701587
0,9,0.9067144847306265,0.6885867891833186,0.49013387557726834,0.19845291360605027,0.036598673270290635,0.0740586630145057
0,10,0.7940450364667508,0.7081558899953961,0.5091712514135727,0.19898463858182347,0.03950325883288337,0.08241966297532163
0,11,0.8897762580768854,0.7323426539078355,0.4987688487728036,0.2335738051350319,0.043203056960873384,0.08354224529470611
0,12,0.4592226143765143,0.749182146973908,0.4812008356235807,0.26798131135032727,0.04232243277622369,0.07105460682957951
0,13,0.6338850166776586,0.7586609600111842,0.5032123227887775,0.25544863722240674,0.044652749153552884,0.07582062010830909
0,14,0.6685888929815113,0.7727171527221799,0.4863638781684093,0.2863532745537706,0.04634899392662642,0.0745331269484656
0,15,0.7070397524726271,0.7690665610134602,0.5123735090425616,0.25669305197089853,0.04844311919205664,0.08604765911926972
0,16,0.5853527178577483,0.7845120076090097,0.4994531824368615,0.28505882517214826,0.048459646559413094,0.07614887229222977
0,17,0.4292007909886526,0.7892597373574972,0.4879444103951044,0.3013153269623928,0.052667576953743585,0.08080176260585142
0,18,0.6728974658792071,0.8008013581857085,0.5004107318800093,0.30039062630569924,0.055004839869739405,0.07981670581182429
0,19,0.6070047739823643,0.7984108086675406,0.5018040453952752,0.2966067632722653,0.056554630481149795,0.0786997896340985
0,20,0.3875539732806831,0.8066779067739844,0.5086032336246716,0.2980746731493128,0.057426168617927,0.07981670581182429
0,21,0.2854866119595443,0.8057870157063007,0.5086881269779416,0.2970988887283591,0.05878795355527218,0.08355244611476133
0,22,0.7090753517859939,0.8120831670239568,0.5127029630053214,0.2993802040186354,0.06021552737092778,0.08607904951436819
0,23,1.0,0.8111698525026441,0.5188625442577113,0.2923073082449328,0.06094009794104737,0.08208615073063473
0,24,0.5839260722090708,0.813950034789741,0.5189448526926065,0.29500518209713456,0.05831705053610874,0.07981670581182429
0,25,0.3196326701187349,0.8142508948221803,0.5215237314378538,0.29272716338432647,0.05999925226235115,0.07981670581182429
0,26,0.3845308080057216,0.8176942244172096,0.5178792028580772,0.2998150215591324,0.06049546487975346,0.07981670581182429
0,27,0.4438638892165754,0.8157032299786806,0.5226925189253068,0.29301071105337384,0.060126615674566605,0.07981670581182429
0,28,0.6191553528126638,0.8150189919397235,0.515053664727517,0.2999653272122065,0.060411406893112876,0.07981670581182429
0,29,0.4707587720241443,0.8146634045988321,0.5117019958969982,0.30296140870183397,0.0580593623829769,0.07981670581182429
1,0,1.0,0.48910659831017256,0.48154793980773947,0.007558658502433091,0.03488725874667844,0.10080071664298906
1,1,0.7656167397577781,0.5200628098100424,0.5001109746306701,0.019951835179372268,0.035061647241709015,0.07112045725824968
1,2,0.8510253318106243,0.5472228564321995,0.5100539404384901,0.03716891599370942,0.032360223606391125,0.09918308300214987
1,3,0.7533542409057804,0.5684386752545834,0.49455035147772414,0.07388832377685922,0.0343280379347131,0.06322743715043877
1,4,0.5718931852975175,0.5903837466612458,0.49937643033327955,0.09100731632796627,0.036336984634244715,0.06815912261126496
1,5,0.7944356891765233,0.6111417748034,0.5000419922896044,0.1110997825137956,0.03707538731106862,0.06220310253374995
1,6,0.6473300433022319,0.6362395426258445,0.4999762178219923,0.13626332480385217,0.04188279993855521,0.08220073292232451
1,7,0.5293473344472609,0.6683418862521648,0.5056996089333607,0.1626422773188041,0.04412462961754711,0.08110514764563842
1,8,0.5531841065226537,0.6846880903467536,0.4962821826596512,0.18840590768710241,0.04686430879042159,0.0777266354022458
1,9,0.655867366923892,0.6980908131226897,0.5056137695964449,0.19247704352624484,0.049843702479971885,0.08459710719288914
