K,seed,round,best,mean_R,rho,rho_star,L_hat,L_analytic,alpha_S,alpha_T,cos_T1,in_supp_frac
0,0,0,0.6698382018001041,0.5150944133621708,1.0,0.7997254500749449,2.504291315304355,20.0,2.419130076419076,1.6534869451588197,1.0000001192092896,1.0
0,0,1,0.6786594649102502,0.5877815356689422,1.0,0.7393379258987354,3.525614809823331,20.0,2.6666714878161755,1.4999972881083043,1.0,1.0
0,0,2,0.7385583379737876,0.6477802333948103,0.8141904275014462,0.8074800832047541,2.384206382294488,20.0,2.2071659840569873,1.8122787451841789,1.0,0.96875
0,0,3,0.7385583379737876,0.6698519858077971,0.8696275315295398,0.7967379114787696,2.5511788204476153,20.0,2.3535426726690454,1.6995655300627213,1.0000001192092896,0.96875
0,0,4,0.7514238390706278,0.695622173247898,0.6781090896700791,0.8015617017413335,2.4756459524896717,20.0,1.9817385535082392,2.018429723193741,1.0000001192092896,0.953125
0,0,5,0.7619903343522908,0.702512576397502,0.5262555633245306,0.673110817937161,4.85639471765786,20.0,1.8908973106380267,2.115397794209311,1.0,0.875
0,0,6,0.79032940536369,0.7352716290460272,0.6385855831082793,0.787485203219328,2.6986513005182524,20.0,1.832604695573367,2.1826856657422895,1.0,0.921875
0,0,7,0.7960055529855857,0.7448715242314824,0.5290910667001976,0.8156126702212942,2.2607217434309503,20.0,1.5608296042926153,2.5627397052177536,1.0,0.90625
0,1,0,0.655297285617111,0.5273581923587749,1.0,0.16807546906054183,49.49708220893281,20.0,4.408239859478501,0.9073916409968681,1.0,1.0
0,1,1,0.7726476775420708,0.6388234900788838,0.7009342415803653,0.727684039570931,3.7422280223383275,20.0,2.3027861943806767,1.7370262205674638,1.0000001192092896,0.9375
0,1,2,0.7834455033563279,0.6913660645541743,0.7039467240275757,0.7377434018616944,3.5548484402097187,20.0,2.2752166603962123,1.7580743274372075,1.0,0.953125
0,1,3,0.8279909791693523,0.7339469531280762,0.8834408756402474,0.7789954172876192,2.8370459929263205,20.0,2.577051657378686,1.5521613579406097,1.0,0.984375
0,1,4,0.8279909791693523,0.7585187619612628,0.6571650449908036,0.7777849890630548,2.8570236512873897,20.0,2.1248961623049514,1.8824449264669272,1.0000001192092896,0.9375
0,1,5,0.8300034597751587,0.773787363827662,0.5932964148436168,0.4901090878532848,10.403620842455226,20.0,2.5656602555758297,1.5590528758852567,1.0,0.921875
0,1,6,0.8300034597751587,0.7871361021272827,0.5348057930249096,0.7756243647616717,2.8928389234816367,20.0,1.8890002421088865,2.1175222272784815,0.9999999403953552,0.875
0,1,7,0.8300034597751587,0.8040257085523341,1.0,0.29115616673214445,24.34582929235952,20.0,4.437376338771578,0.9014335712411854,1.0,1.0
0,2,0,0.6637034759858299,0.5167808407531628,1.0,0.7257474197279604,3.778898454435298,20.0,2.595261109580954,1.5412707358165836,1.0000001192092896,1.0
0,2,1,0.7196965205231922,0.6053286564885347,0.7381248308126113,0.7757632368750274,2.8905309309094824,20.0,2.038554974148779,1.9621742119906498,0.9999999403953552,0.953125
0,2,2,0.7204049199089344,0.6281437482020602,0.7231019392765135,0.7952979956393954,2.5739031845041986,20.0,1.9579221079015487,2.0429821921195317,1.0000001192092896,0.96875
0,2,3,0.7507000289828879,0.6519969208942018,0.7565222652060318,0.40596068703823385,14.632927077143773,20.0,2.883671484869867,1.3871205582838817,1.0000001192092896,0.953125
0,2,4,0.7732127154609876,0.6909856345672702,0.7909214913896763,0.8453219668852504,1.8298120618430183,20.0,2.1053098807175377,1.8999578335882357,0.9999999403953552,0.984375
0,2,5,0.7989141919872678,0.7183949188259171,0.7056657484994969,0.41808863843404526,13.918372997302892,20.0,2.8819330854880536,1.387957277752895,1.0000001192092896,0.9375
0,2,6,0.7989141919872678,0.7405932552291475,0.5549456189343785,0.44987420963163605,12.228435829180238,20.0,2.5666364965061117,1.5584598775265157,1.0000001192092896,0.78125
0,2,7,0.8087396718317604,0.7632722185577332,0.5060163896858867,0.7890696249721513,2.6731528923736354,20.0,1.812835429208751,2.206488209327353,1.0,0.921875
0,3,0,0.5928969560909324,0.46468281998314387,1.0,0.7200131262954801,3.888635685644687,20.0,2.609437577534725,1.532897370083485,1.0,1.0
0,3,1,0.6756284348635313,0.5241690079491292,1.0,0.7909777421404635,2.642580779756226,20.0,2.5798098644478724,1.550501862607644,0.9999998807907104,1.0
0,3,2,0.7207487077585834,0.6157143886305012,0.7053962088648854,0.8081850117919264,2.373404423608117,20.0,2.000304950310555,1.9996950961797026,1.000000238418579,0.921875
0,3,3,0.7795229553347147,0.657984361007319,0.6218898677546384,0.7837343798408117,2.7594249495998247,20.0,1.8526905980005415,2.15902212939218,1.0,0.875
0,3,4,0.7795229553347147,0.6872401924636977,1.0,0.7807709393001068,2.80785374640625,20.0,2.576134324624557,1.552714065320703,0.9999998807907104,1.0
0,3,5,0.7827348545744612,0.7161784372333189,0.6498062798807576,0.6473523037237312,5.447539064088469,20.0,2.190652475250527,1.8259400088289004,1.0000001192092896,0.953125
0,3,6,0.7882099461478325,0.738933462437968,0.7502670324961815,0.7925050460442842,2.6182161866527878,20.0,2.1006206283383357,1.9041991428809968,0.9999999403953552,0.96875
0,3,7,0.7993160486921145,0.7512298529786339,0.8105151700248575,0.3533842725319093,18.29780716711731,20.0,3.347405945164346,1.1949551579719184,1.0000001192092896,0.96875
0,4,0,0.5928310764009252,0.43606279838474166,1.0,0.7705071655377633,2.9784646363679914,20.0,2.487219384159924,1.608221625110496,1.0,1.0
0,4,1,0.600960403888544,0.5012083596988128,0.829525248387018,0.7880520176200714,2.689517666866898,20.0,2.1780834019435567,1.8364769670576906,0.9999997615814209,0.9375
0,4,2,0.6488149274657935,0.5471761997303299,0.7910908568991025,0.8516582763422733,1.7417986506845105,20.0,1.9933195112896647,2.0067028779606066,1.0000001192092896,0.96875
0,4,3,0.6793111544413215,0.597615886222189,0.6575775904825518,0.7515729989831847,3.305427434898755,20.0,1.907762847697767,2.096696664801437,1.0,0.9375
0,4,4,0.6992374349261641,0.6196629464318684,0.735989658123311,0.7910513969938278,2.64140362813622,20.0,1.9427785216887279,2.0589068467377674,1.0000001192092896,0.96875
0,4,5,0.7279199386679767,0.6473614923102706,0.6601829486083756,0.7023615177566813,4.237682087053486,20.0,1.9451631193664485,2.0563828093259473,0.9999998807907104,0.921875
0,4,6,0.7279199386679767,0.662879286818776,0.5155526232589106,0.5790883919750118,7.268520900400829,20.0,1.8900830806720417,2.116309087628969,1.0,0.921875
0,4,7,0.7319406038041953,0.6879311845661367,0.6319066094678701,0.6585660499590524,5.184505791972981,20.0,1.932754416309739,2.069585233512134,0.9999999403953552,0.96875
1,0,0,0.6786211712785195,0.4814580025271276,1.0,0.7160048920317418,3.9663850223479784,10.0,2.619392794607938,1.5270714679501538,1.0,1.0
1,0,1,0.6786211712785195,0.5124674480305145,0.913183271937773,0.641676764307402,5.584170342826059,10.0,2.739779340252415,1.459971590132321,1.0,0.96875
1,0,2,0.6786211712785195,0.5589993413361627,0.6715852866651354,0.8184647576811299,2.2179970562592684,10.0,1.9439306007813666,2.0576866264629983,1.0000001192092896,0.953125
1,0,3,0.7140964287386407,0.5862764134168477,0.6458572801455786,0.7021417423924746,4.242138582910689,10.0,2.0573142506452564,1.9442824540516548,0.9999999403953552,0.890625
1,0,4,0.7140964287386407,0.5941744163576066,0.7421664206310639,0.7668492713860771,3.040372304097047,10.0,2.0962834871370704,1.9081388679270987,1.0000001192092896,0.953125
1,0,5,0.7140964287386407,0.5929051428585878,0.5812087081060425,0.7423515775853077,3.4707062016728107,10.0,1.8323374023278782,2.1830040662370545,1.0,0.875
1,0,6,0.7169808064454963,0.6048511949247193,0.8240474929243351,0.7316782047288634,3.6672104421993574,10.0,2.257369950202615,1.7719736189635074,0.9999999403953552,0.96875
1,0,7,0.7169808064454963,0.6150013141518436,0.6508899754574713,0.744796307004547,3.4264897743900193,10.0,1.926514507689128,2.076288542876346,0.9999999403953552,0.90625
1,1,0,0.6587779672487482,0.47568217712367145,1.0,0.5421682817965019,8.444457810893136,10.0,3.089741136649454,1.294606836978466,1.0,1.0
1,1,1,0.6836440523116163,0.5348718874458552,0.9249856966488259,0.8858636804946659,1.288418545860244,10.0,2.2747711172674827,1.7584186688658636,1.0000001192092896,0.96875
1,1,2,0.7111698538311331,0.5709789721311244,0.8797406753300083,0.6452423801762481,5.498052061100661,10.0,2.7602225425233033,1.4491585147128512,0.9999999403953552,0.9375
1,1,3,0.7111698538311331,0.5870858166336772,0.6735418947394044,0.7547802387555659,3.2488895264234396,10.0,2.1431166748581436,1.866440612835401,1.0,0.890625
1,1,4,0.7430848137706301,0.6156026140849403,0.7417324543464663,0.7278386476569384,3.739308886924386,10.0,2.308017737897955,1.7330889335551773,0.9999998807907104,0.921875
1,1,5,0.7443035580445054,0.6436863742858352,0.6138824994483111,0.2306646607127908,33.35297816795341,10.0,3.2871654425337042,1.2168538730185885,0.9999998807907104,0.875
1,1,6,0.7633805659237248,0.6716551879905355,0.9035228282163981,0.7760224124221473,2.886225758335592,10.0,2.783579367365166,1.4369987243389626,1.0,0.984375
1,1,7,0.7740184021717065,0.6989872883890751,0.6746234669238821,0.7187561594387714,3.912924249314721,10.0,2.4258604155950136,1.6488994891401787,1.0,0.953125
1,2,0,0.6940541490127115,0.5223086688215646,1.0,0.5004671604752174,9.981331023806884,10.0,3.2146014303545423,1.2443222236601927,1.0000001192092896,1.0
1,2,1,0.7267354862967028,0.5816749528515694,1.0,0.8329413207266912,2.005647638270127,10.0,2.5902632041563476,1.5442446132816088,0.9999998807907104,1.0
1,2,2,0.7267354862967028,0.5905910720087592,0.8150334786172726,0.7057517114917082,4.169289053318136,10.0,2.535226958685063,1.5777680125627356,1.0,0.953125
1,2,3,0.765665599854257,0.6254898000456126,0.7090927216409998,0.8022648369169604,2.464711825622573,10.0,2.13786641258982,1.8710242962067887,1.0,0.921875
1,2,4,0.7695232460530916,0.6481916972272223,0.7421395080878214,0.563737147068197,7.738763627705856,10.0,2.716025660785138,1.4727401356155434,1.0000001192092896,0.953125
1,2,5,0.8028059665840346,0.6924178662791267,0.6489920830751617,0.3333333333333333,20.0,10.0,3.2067042590849244,1.2473866240291998,1.0000001192092896,0.9375
1,2,6,0.8028059665840346,0.7067025750603326,0.4939906161937994,0.35767686557234557,17.958196245089127,10.0,2.8805973906077806,1.3886008551705433,0.9999999403953552,0.84375
1,2,7,0.8138298251459114,0.7380766790844814,0.6989223078705649,0.4668150473142008,11.421760197179903,10.0,3.242239466792755,1.2337151653874678,1.0,0.96875
1,3,0,0.6274541161123166,0.5122545818966014,1.0,0.3333333333333333,20.0,10.0,3.7677594479299255,1.061638901124028,1.0,1.0
1,3,1,0.7406568506620521,0.56688143221714,0.860338427979778,0.8629480655805005,1.5881828801285438,10.0,2.2796031212165166,1.754691403416481,1.0,0.96875
1,3,2,0.7406568506620521,0.60686071220837,0.6879867088656797,0.8837605160983779,1.3152826108909643,10.0,1.89643056539034,2.109225654236745,1.0,0.921875
1,3,3,0.7729846071682642,0.6473965170245415,0.837030133788443,0.5192228284453295,9.259553802636642,10.0,2.9704717096538236,1.346587475315884,1.0,0.984375
1,3,4,0.8294463127374924,0.6908126890206616,0.7463860204416742,0.8262586269160274,2.102748067302539,10.0,2.169477401712543,1.8437620031637476,0.9999998807907104,0.890625
