K,seed,round,best,rho,rho_star,L_hat,L_analytic,cos_T1
0,0,0,0.6331572714532447,1.0,0.7827554918635132,5.5507629239186995,40.0,1.0
0,0,1,0.7130108227422001,0.762879748163701,0.5657385424452005,15.352019527531606,40.0,0.9999998807907104
0,0,2,0.7533941279613008,0.6967100292063444,0.8019961570154295,4.937775355967477,40.0,0.9999999403953552
0,0,3,0.7912460953048672,0.779770851415499,0.8464312476208058,3.6286172754338497,40.0,1.0000001192092896
0,0,4,0.8051366169761025,0.7678225378457199,0.8398805798555051,3.8129092155468642,40.0,1.0000001192092896
0,0,5,0.8180007766652334,0.7240579832476993,0.7873755772723872,5.400838656037126,40.0,0.9999998807907104
0,0,6,0.8281182649872459,0.647166070263103,0.7904191030743872,5.303032179015766,40.0,1.0000001192092896
0,0,7,0.8281182649872459,0.4853956829441655,0.43674476839826065,25.793336170571635,40.0,0.9999998211860657
0,0,8,0.835391347797436,0.6416388616212773,0.7992070990518492,5.024802737272091,40.0,1.0
0,0,9,0.835391347797436,0.5052105059944708,0.6522231973450104,10.664349384403266,40.0,1.0000001192092896
0,0,10,0.8369483504403347,0.5730498283790618,0.6143578677480411,12.55431573345187,40.0,0.9999999403953552
0,0,11,0.8377236795090125,0.6656120746995339,0.4866543213121315,21.09693292371353,40.0,0.9999999403953552
0,0,12,0.841415389172696,0.6132462412934486,0.17291766355796717,95.66198379320225,40.0,1.0000001192092896
0,0,13,0.8416129757463121,0.7033223367188729,0.5468816162826966,16.570986123003095,40.0,1.0
0,0,14,0.8416129757463121,0.6494851670149312,0.4577473491655895,23.692224622288368,40.0,1.0
0,0,15,0.8425364897147889,0.5200108196470917,0.5868694113588306,14.07913176747827,40.0,0.9999999403953552
0,1,0,0.6147086401237057,1.0,0.668636829440033,9.911603907235433,40.0,1.0
0,1,1,0.7103921468293292,0.742084390963649,0.8083746795197717,4.7410025409026035,40.0,0.9999998807907104
0,1,2,0.7487113281738498,0.6720089502816983,0.8006816506119442,4.978716553219897,40.0,1.0000001192092896
0,1,3,0.7645318815803179,0.7236512061577487,0.8305148998372713,4.081446346018285,40.0,1.0000001192092896
0,1,4,0.782932345165535,0.641577398179844,0.8383942353636842,3.855125854156507,40.0,1.0000001192092896
0,1,5,0.7838771313780768,0.6207706273793566,0.8321364515656305,4.034519774215902,40.0,1.0
0,1,6,0.7870137026199776,0.6846665608454969,0.6463068658926842,10.945052660667375,40.0,1.0
0,1,7,0.7896582939077744,0.6955253026717008,0.6470664053704122,10.908728739442179,40.0,1.0
0,1,8,0.7943264234503401,0.6601131625121958,0.5711574733998944,15.016612635648826,40.0,0.9999998807907104
0,1,9,0.795019781859928,1.0,0.6184346230295392,12.339715881406452,40.0,1.0000001192092896
0,1,10,0.7967400397287875,0.5366828308951068,0.6623771074387942,10.194280230084892,40.0,1.0
0,1,11,0.7973862070984516,0.7270503419908311,0.5791738990176224,14.531942882653048,40.0,0.9999998211860657
0,1,12,0.7975191514212948,0.49004753598948025,0.6102446008166612,12.773743468168265,40.0,1.0000001192092896
0,1,13,0.7992421816560615,0.5649960372686409,0.6223977064517171,12.13379450579886,40.0,1.0000001192092896
0,1,14,0.7992421816560615,0.4337141652513449,0.4982558747727851,20.140018437555625,40.0,0.9999999403953552
