best,cos_T1_min,method,seed,top_1pct
1.0,,random,0,0.002364066193853428
0.954730212688446,,adalead,0,0.0
0.8423786759376526,,pex,0,0.0
1.0,1.0000001192092896,price_rl_wt,0,0.03546099290780142
1.0,,price_rl_uniform,0,0.002364066193853428
0.9775761365890503,,random,1,0.0
0.987959623336792,,adalead,1,0.0
0.7135388255119324,,pex,1,0.0
1.0,0.9999998211860657,price_rl_wt,1,0.002364066193853428
1.0,,price_rl_uniform,1,0.002364066193853428
0.7945457696914673,,random,2,0.0
0.7289159297943115,,adalead,2,0.0
0.7289159297943115,,pex,2,0.0
1.0,0.9999997019767761,price_rl_wt,2,0.0070921985815602835
1.0,,price_rl_uniform,2,0.002364066193853428
0.8845416307449341,,random,3,0.0
0.9338626265525818,,adalead,3,0.0
0.9338626265525818,,pex,3,0.0
1.0,0.9999995827674866,price_rl_wt,3,0.009456264775413711
0.9699656367301941,,price_rl_uniform,3,0.0
0.8790919184684753,,random,4,0.0
0.8604166507720947,,adalead,4,0.0
0.8604166507720947,,pex,4,0.0
1.0,0.9999998211860657,price_rl_wt,4,0.026004728132387706
0.8520300388336182,,price_rl_uniform,4,0.0
