seed,round,rho,proxy_R,true_R,reward_gap,proxy_unc_mean
0,0,0.7699915210926103,0.03220305682043545,0.041666666666666664,-0.009463609846231215,0.034842729568481445
0,1,0.818710028748383,0.04190074681537226,0.04791666666666667,-0.0060159198512944115,0.033246785402297974
0,2,0.8075064408880547,0.03622990346048027,0.03333333333333333,0.00289657012714694,0.03818904235959053
0,3,0.775060692020951,0.035653811384690925,0.021875,0.013778811384690927,0.03585917875170708
0,4,0.8939660842267876,0.03926384341320954,0.035416666666666666,0.003847176746542877,0.03597566485404968
0,5,0.7484773796937588,0.05241921727429144,0.04479166666666667,0.007627550607624774,0.036720581352710724
0,6,0.6988073705799054,0.051047225890215486,0.040625,0.010422225890215485,0.03639278560876846
0,7,0.8706525635088734,0.057528657460352406,0.029166666666666667,0.02836199079368574,0.03632733225822449
0,8,0.7832458200893989,0.06558935352950357,0.01666666666666667,0.0489226868628369,0.041412219405174255
0,9,0.7796820558824575,0.06551151972962543,0.021875,0.043636519729625435,0.041036803275346756
0,10,0.9591729440581614,0.07642147984006442,0.023958333333333335,0.05246314650673109,0.03946499526500702
0,11,0.8320418165275376,0.08176797535270452,0.017708333333333333,0.0640596420193712,0.038194067776203156
0,12,0.8175752255320957,0.09658179635880515,0.015625,0.08095679635880515,0.04420720785856247
0,13,0.608017600149251,0.15759164048358798,0.0,0.15759164048358798,0.08142907917499542
0,14,1.0,0.16133251786231995,0.0,0.16133251786231995,0.08191125839948654
0,15,1.0,0.16133251786231995,0.0,0.16133251786231995,0.08191125839948654
0,16,1.0,0.16133251786231995,0.0,0.16133251786231995,0.08191125839948654
0,17,0.0029847071428791417,0.16113016032613814,0.0,0.16113016032613814,0.08176124095916748
1,0,0.7857928995874258,0.04362270119599998,0.03229166666666666,0.011331034529333317,0.03385773301124573
1,1,0.8257850759654519,0.0410658658365719,0.027083333333333334,0.013982532503238568,0.03159753978252411
1,2,0.8545215673526091,0.04415921674808487,0.03125,0.012909216748084873,0.03172846883535385
1,3,0.6728435907634841,0.07822630024747923,0.028125,0.05010130024747923,0.03717527538537979
1,4,0.7469091357509158,0.058920013543684036,0.03645833333333333,0.022461680210350707,0.031242765486240387
1,5,0.8863863734610211,0.06637338543077931,0.03125,0.03512338543077931,0.029928557574748993
1,6,0.7130332929820117,0.07113026734441519,0.029166666666666667,0.04196360067774852,0.03562274947762489
1,7,0.6665023291395161,0.08536850556265563,0.008333333333333333,0.0770351722293223,0.03019837476313114
1,8,0.7812368379222497,0.07993060897570103,0.027083333333333334,0.0528472756423677,0.03527684137225151
1,9,0.8160733338436866,0.10927196522243321,0.03229166666666667,0.07698029855576655,0.03963106498122215
1,10,0.03451145152072171,0.18503045104444027,0.0,0.18503045104444027,0.06868632882833481
1,11,0.3480057095870223,0.18426217860542238,0.0,0.18426217860542238,0.06839615106582642
1,12,0.012127213126642137,0.18556559877470136,0.0,0.18556559877470136,0.06904347240924835
1,13,0.6446335685527662,0.17572207003831863,0.0,0.17572207003831863,0.063797727227211
1,14,0.016408605579025452,0.1853160411119461,0.0,0.1853160411119461,0.06925748288631439
1,15,0.1476590794816566,0.18917852127924562,0.0,0.18917852127924562,0.0698348805308342
1,16,0.0038643558828068197,0.1839998804498464,0.0,0.1839998804498464,0.06852198392152786
1,17,1.0,0.18513360619544983,0.0,0.18513360619544983,0.06895268708467484
2,0,0.7377251886130296,0.03248302191786934,0.03125,0.001233021917869337,0.03669716417789459
2,1,0.9026440425950347,0.04490127800090704,0.034375,0.010526278000907038,0.03597376495599747
2,2,0.9042382856712929,0.030839913320960477,0.029166666666666667,0.0016732466542938099,0.03289693593978882
2,3,0.9242117584601973,0.04536354592710268,0.027083333333333334,0.018280212593769343,0.035691361874341965
2,4,0.8303612155429063,0.044150982808787376,0.030208333333333337,0.013942649475454039,0.03342239558696747
2,5,0.8331962407264637,0.04455702695122454,0.03229166666666667,0.012265360284557873,0.032217368483543396
2,6,0.7710799046208141,0.03988174303958658,0.03125,0.008631743039586581,0.029669756069779396
2,7,0.7765474766076258,0.047278859055950306,0.030208333333333334,0.017070525722616973,0.0342448353767395
2,8,0.7587581618690855,0.05993845427292399,0.035416666666666666,0.024521787606257325,0.03475835919380188
2,9,0.8339982471352373,0.06819531157088932,0.07083333333333333,-0.002638021762444015,0.03422185778617859
2,10,0.8867604945264158,0.09835080275661312,0.01875,0.07960080275661312,0.04524511098861694
2,11,0.6736892587534398,0.12240676357760094,0.0020833333333333333,0.1203234302442676,0.055306389927864075
2,12,0.9721177215372548,0.1274134365376085,0.0,0.1274134365376085,0.061927080154418945
2,13,0.7921828510177649,0.09061987651512027,0.0010416666666666667,0.0895782098484536,0.04014136642217636
2,14,0.4457160363509679,0.1488308198750019,0.004166666666666667,0.14466415320833523,0.06036513298749924
2,15,0.9070676586497952,0.16807330050505698,0.0,0.16807330050505698,0.06823615729808807
2,16,0.41836376194048747,0.12247383396606892,0.0,0.12247383396606892,0.04830880090594292
2,17,1.0,0.12450750172138214,0.0,0.12450750172138214,0.04601680859923363
3,0,0.8095880173481548,0.031074756931047887,0.026041666666666668,0.005033090264381219,0.03763815388083458
3,1,0.784892042657213,0.04148788854945451,0.03333333333333334,0.00815455521612117,0.03496628627181053
3,2,0.839315913499361,0.040783779870253056,0.036458333333333336,0.004325446536919721,0.04109805077314377
3,3,0.7972656701041148,0.037141365522984415,0.029166666666666667,0.007974698856317748,0.03605649620294571
3,4,0.81221255032162,0.04434606310678646,0.028125,0.01622106310678646,0.03536297380924225
3,5,0.7529107281226322,0.05522701027803123,0.02291666666666667,0.03231034361136456,0.03801944479346275
3,6,0.8459415704342995,0.05092066217912361,0.023958333333333335,0.026962328845790275,0.03425736725330353
3,7,0.6636724890973238,0.0514658935717307,0.028125000000000004,0.0233408935717307,0.03956809639930725
3,8,0.7200221860980277,0.06739778706105426,0.017708333333333333,0.04968945372772093,0.0344892293214798
3,9,0.9452542510846973,0.09018071065656841,0.004166666666666667,0.08601404398990174,0.03575702756643295
3,10,0.5003272401482279,0.09661108558066189,0.0010416666666666667,0.09556941891399523,0.03224029764533043
3,11,0.7572058704782422,0.10456783953122795,0.007291666666666667,0.09727617286456128,0.02990182861685753
3,12,0.6291324441335797,0.08215381600894034,0.00625,0.07590381600894033,0.03266965225338936
3,13,1.0,0.0994640103308484,0.00625,0.09321401033084839,0.032743893563747406
3,14,0.7395656624783286,0.12291087070479989,0.005208333333333334,0.11770253737146656,0.037760473787784576
3,15,0.6131575185037166,0.12787814065814018,0.003125,0.12475314065814018,0.03974228352308273
3,16,1.0,0.13862828817218542,0.0,0.13862828817218542,0.04342760145664215
3,17,0.8965524805319842,0.09829783299937844,0.0,0.09829783299937844,0.031173113733530045
4,0,0.714996422464445,0.030629748885985464,0.025,0.0056297488859854625,0.030947977676987648
4,1,0.8753050989693826,0.032789204036816955,0.03854166666666667,-0.005752462629849714,0.03107869252562523
4,2,0.9430370961867903,0.04890400543808937,0.03333333333333334,0.015570672104756031,0.03378623351454735
4,3,0.8305969731684547,0.04747533571207896,0.026041666666666668,0.02143366904541229,0.034262269735336304
4,4,0.8453003954029974,0.05034222872927785,0.02291666666666667,0.02742556206261118,0.03424961119890213
4,5,0.8255478576368529,0.06525042850989848,0.034375,0.03087542850989848,0.033992700278759
4,6,0.6843351336016026,0.0567247667349875,0.03333333333333333,0.023391433401654164,0.03337164968252182
4,7,0.8280650904607227,0.07647606998216361,0.027083333333333334,0.049392736648830274,0.029936257749795914
4,8,1.0,0.12585455714724958,0.0,0.12585455714724958,0.02877405285835266
4,9,0.6470115638988104,0.13150086370296776,0.0010416666666666667,0.1304591970363011,0.01493876613676548
4,10,1.0,0.12561514973640442,0.0,0.12561514973640442,0.04400116577744484
4,11,1.0,0.12561514973640442,0.0,0.12561514973640442,0.04400116577744484
4,12,0.002112963824476145,0.12472550815436989,0.0,0.12472550815436989,0.04390725493431091
4,13,1.0,0.12561514973640442,0.0,0.12561514973640442,0.04400116577744484
4,14,1.0,0.12561514973640442,0.0,0.12561514973640442,0.04400116577744484
4,15,1.0,0.12561514973640442,0.0,0.12561514973640442,0.04400116577744484
4,16,1.0,0.12561514973640442,0.0,0.12561514973640442,0.04400116577744484
4,17,1.0,0.12561514973640442,0.0,0.12561514973640442,0.04400116577744484
