seed,best_random,best_adalead,best_price_rl,best_price_fixed,cos_T1_min,mean_rho
0,0.7916666666666666,1.0,1.0,1.0,0.9999998807907104,0.37892054787446616
1,0.75,0.9583333333333334,1.0,1.0,0.9999998807907104,0.4554239890206662
2,0.75,0.9166666666666666,1.0,1.0,0.9999998807907104,0.49554924510968495
3,0.7916666666666666,0.9583333333333334,1.0,1.0,0.9999998807907104,0.4200609242628501
4,0.75,0.9166666666666666,1.0,1.0,0.9999998807907104,0.5509359819859319
