name,N,A,batch,rounds_sec
toy,10,4,32,0.014846205711364746
small,20,4,64,0.028217077255249023
med,40,4,128,0.05543416738510132
large,80,4,256,0.5579840342203776
aa20,20,20,64,0.0756820837656657
aa40,40,20,64,0.45668043692906696
dna600,600,4,64,1.6762157479921977
