mean_pairwise_hamming_top10,method,seed,top_1pct,top_K_unique
3.1555555555555554,random,0,0.024112525117213665,34
3.1333333333333333,pex,0,0.38780977896851976,341
0.4666666666666667,adalead,0,2.1359678499665105,61
1.8888888888888888,price_rl,0,2.203616878767582,165
3.577777777777778,random,1,0.026121902210314803,39
3.311111111111111,pex,1,0.3697253851306095,321
2.311111111111111,adalead,1,2.089752176825184,43
0.4,price_rl,1,2.186202277294039,73
3.2222222222222223,random,2,0.025452109845947757,38
2.7111111111111112,pex,2,0.3503014065639652,314
0.0,adalead,2,2.0643000669792366,62
0.9333333333333333,price_rl,2,2.336235766912257,146
3.3333333333333335,random,3,0.034829202947086406,51
2.933333333333333,pex,3,0.34695244474212994,274
1.6,adalead,3,2.060281312793034,37
1.488888888888889,price_rl,3,2.2384460817146685,102
3.2222222222222223,random,4,0.033489618218352314,50
3.1333333333333333,pex,4,0.3034159410582719,267
0.0,adalead,4,2.042866711319491,24
0.2,price_rl,4,2.204956463496316,87
